Sales Channal,Order ID,Item Code/SKU,Print SKU,Print Url,Quantity,Image Name,Image_Status
Wayfair,CS406639800,MDR-MTO-TR1177-2by5,2by5,https://rugtycoon5.s3.amazonaws.com/2X5-ALL-MIX-FABFAB/MTO-TR1177.jpg,1,Wayfair-MDR-MTO-TR1177-2by5-QTY1-CS406639800,Yes
Wayfair,CS406650868,MDR-MTO-CON386-2by5,2by5,https://rugtycoon5.s3.amazonaws.com/2X5-ALL-MIX-FABFAB/MTO-CON386.jpg,1,Wayfair-MDR-MTO-CON386-2by5-QTY1-CS406650868,Yes
Wayfair,CS406689609,MDR-MTO-CON1107-3by5,3by5,https://rugtycoon5.s3.amazonaws.com/3X5-ALL-MIX-FABFAB/MTO-CON1107.jpg,1,Wayfair-MDR-MTO-CON1107-3by5-QTY1-CS406689609,Yes
